"fot_codigo","POR_CULT","POR_CIELO","POR_PAISAJE","PAN_DET","HERBÁCEO O LEÑOSO","AB_REV"
"1870488",39.51,24.07,0.00,"Panorámica","H",0
"1870503",68.22,14.15,1.15,"Panorámica","H",0
"1870504",28.05,34.16,0.00,"Panorámica","H",0
"1870505",28.20,8.88,2.63,"Panorámica","H",0
"1870511",36.59,20.78,1.02,"Panorámica","H",0
"1870518",27.18,16.68,0.00,"Panorámica","H",0
"1870521",39.20,23.16,0.00,"Panorámica","H",0
"1870523",39.00,39.37,2.29,"Panorámica","H",0
"1870537",31.36,11.39,0.00,"Panorámica","H",0
"1870544",66.24,23.23,0.00,"Panorámica","H",0
"1870545",16.33,26.16,0.00,"Panorámica","H",0
"1870547",32.99,27.94,0.00,"Panorámica","H",0
"1870548",36.46,40.45,0.00,"Panorámica","H",0
"1870555",43.08,27.23,0.00,"Panorámica","H",0
"1870565",55.62,11.85,13.67,"Panorámica","H",0
"1870567",31.65,1.15,9.59,"Panorámica","H",0
"1870578",62.08,11.47,0.00,"Panorámica","H",0
"1870579",72.55,24.54,0.00,"Detalle","H",0
"1870585",57.94,24.35,0.00,"Panorámica","H",0
"1870586",14.63,19.85,0.00,"Panorámica","H",0
"1870590",60.39,0.00,0.00,"Panorámica","H",0
"1870591",71.00,19.23,2.08,"Detalle","H",0
"1870601",62.42,35.71,0.00,"Panorámica","H",0
"1870603",29.79,39.16,0.00,"Panorámica","H",0
"1870618",28.78,8.52,0.00,"Panorámica","H",0
"1870638",46.29,38.60,1.75,"Panorámica","H",0
"1870640",61.76,36.02,0.00,"Panorámica","H",0
"1870641",32.00,33.95,0.00,"Panorámica","H",0
"1870643",63.52,32.78,1.44,"Panorámica","H",0
"1870644",60.42,25.22,0.00,"Panorámica","H",0
"1870645",69.93,28.05,0.00,"Detalle","H",0
"1870646",57.01,41.41,0.00,"Panorámica","H",0
"1870648",54.64,43.56,0.00,"Panorámica","H",0
"1870650",30.69,50.18,2.06,"Panorámica","H",0
"1870652",58.66,28.59,0.00,"Panorámica","H",0
"1870668",49.68,25.53,0.00,"Panorámica","H",0
"1870671",30.30,32.64,2.45,"Panorámica","H",0
"1870676",65.01,33.13,0.00,"Panorámica","H",0
"1870677",55.64,42.84,0.00,"Panorámica","H",0
"1870678",62.82,31.45,0.00,"Panorámica","H",0
"1870679",21.85,50.10,6.08,"Panorámica","H",0
"1870681",61.53,22.72,0.00,"Panorámica","H",0
"1870683",55.82,39.67,0.00,"Panorámica","H",0
"1870684",46.00,34.74,0.00,"Panorámica","H",0
"1870685",51.59,35.25,0.00,"Panorámica","H",0
"1870686",43.60,37.74,0.00,"Panorámica","H",0
"1870696",32.28,20.44,0.00,"Panorámica","H",0
"1870703",33.49,38.36,4.03,"Panorámica","H",0
"1870706",0.00,14.46,0.00,"Panorámica","H",0
"1870712",17.85,47.13,0.00,"Panorámica","H",0
"1870713",9.03,50.39,0.00,"Panorámica","H",0
"1870715",29.93,20.18,0.00,"Panorámica","H",0
"1870716",28.10,31.88,0.00,"Panorámica","H",0
"1870720",21.66,51.88,2.33,"Panorámica","H",0
"1870721",22.41,53.38,0.00,"Panorámica","H",0
"1870754",22.54,43.87,0.00,"Panorámica","H",0
"1870776",37.50,33.20,7.22,"Panorámica","H",0
"1870778",20.65,35.19,0.00,"Panorámica","H",0
"1870779",14.80,29.62,0.00,"Panorámica","H",0
"1870782",12.34,39.40,0.00,"Panorámica","H",0
"1870785",20.94,37.04,2.62,"Panorámica","H",0
"1870786",23.19,43.01,0.00,"Panorámica","H",0
"1870787",18.99,52.23,0.00,"Panorámica","H",0
"1870788",6.00,39.01,0.00,"Panorámica","H",0
"1870790",35.25,44.75,0.00,"Panorámica","H",0
"1870792",23.47,52.28,3.97,"Panorámica","H",0
"1870797",21.30,47.48,0.00,"Panorámica","H",0
"1870798",64.18,23.83,0.00,"Detalle","H",0
"1870799",12.30,57.07,0.00,"Panorámica","H",0
"1870800",26.23,34.01,0.00,"Panorámica","H",0
"1870801",35.01,39.96,0.00,"Panorámica","H",0
"1870802",30.89,47.11,0.00,"Panorámica","H",0
"1870809",14.05,41.24,0.00,"Panorámica","H",0
"1870813",16.00,33.29,0.00,"Panorámica","H",0
"1870815",65.83,11.33,0.00,"Detalle","H",0
"1870820",13.63,30.70,0.00,"Panorámica","H",0
"1870821",27.73,25.41,0.00,"Panorámica","H",0
"1870826",68.34,8.39,0.00,"Detalle","H",0
"1870831",12.64,30.38,0.00,"Panorámica","H",0
"1870832",39.19,28.99,0.00,"Panorámica","H",0
"1870840",49.26,16.78,0.00,"Panorámica","H",0
"1870844",12.92,38.07,0.00,"Panorámica","H",0
"1870846",31.52,9.33,0.00,"Panorámica","H",0
"1870847",51.22,15.98,0.00,"Panorámica","H",0
"1870848",9.83,13.42,0.00,"Panorámica","H",0
"1870849",12.37,10.13,0.00,"Panorámica","H",0
"1870866",31.90,34.17,0.00,"Panorámica","H",0
"1870870",35.69,23.17,0.00,"Panorámica","H",0
"1870874",40.71,31.35,0.00,"Panorámica","H",0
"1870890",8.71,45.72,0.00,"Panorámica","H",0
"1870897",51.74,25.11,0.00,"Panorámica","H",0
"1870899",51.46,24.64,0.00,"Panorámica","H",0
"1870901",36.59,36.54,0.00,"Panorámica","H",0
"1870908",41.14,18.19,1.75,"Panorámica","H",0
