"ABANDONADO","CULT","MALEZA","DESCAMPADO","VEGETACION","CIELO","SUELO_DESNUDO","PAISAJE"
"ABANDONO",0.00,2.82,13.86,53.36,29.95,0.00,0.00
"NO ABANDONO",17.97,0.00,56.50,0.00,23.35,0.00,0.00
"NO ABANDONO",46.64,3.19,20.45,1.26,20.32,0.00,0.00
"NO ABANDONO",52.40,0.00,0.00,1.75,11.22,31.19,0.00
"NO ABANDONO",36.78,0.00,36.75,11.36,15.09,0.00,0.00
"NO ABANDONO",29.04,9.42,39.71,0.00,21.81,0.00,0.00
"NO ABANDONO",44.76,0.00,26.65,0.00,28.57,0.00,0.00
"NO ABANDONO",13.69,9.37,42.35,0.00,32.97,0.00,1.60
"NO ABANDONO",52.87,0.00,2.81,0.00,44.31,0.00,0.00
"NO ABANDONO",67.30,8.04,0.00,0.00,18.04,6.61,0.00
"NO ABANDONO",47.05,0.00,0.00,0.00,49.84,3.09,0.00
"NO ABANDONO",48.30,0.00,0.00,0.00,21.88,29.81,0.00
"NO ABANDONO",34.06,0.00,0.00,0.00,61.59,0.00,0.00
"NO ABANDONO",41.11,0.00,0.00,0.00,44.10,14.78,0.00
"NO ABANDONO",79.38,0.00,17.73,0.00,2.87,0.00,0.00
"NO ABANDONO",57.70,4.71,0.00,0.00,16.64,12.91,0.00
"NO ABANDONO",78.18,0.00,0.00,0.00,7.08,0.00,0.00
"NO ABANDONO",61.37,0.00,0.00,0.00,31.84,0.00,0.00
"NO ABANDONO",36.79,0.00,16.16,0.00,44.08,0.00,0.00
"NO ABANDONO",32.94,0.00,2.30,0.00,52.18,0.00,1.45
"NO ABANDONO",83.34,0.00,0.00,0.00,16.65,0.00,0.00
"NO ABANDONO",74.97,0.00,0.00,1.91,23.11,0.00,0.00
"NO ABANDONO",65.42,0.00,12.19,0.00,15.93,0.00,1.34
"NO ABANDONO",54.56,4.80,6.24,10.58,12.59,0.00,1.91
"NO ABANDONO",65.42,0.00,12.19,0.00,15.93,0.00,1.34
"NO ABANDONO",48.80,0.00,0.00,0.00,43.66,3.59,0.00
"NO ABANDONO",84.51,0.00,0.00,0.00,15.48,0.00,0.00
"NO ABANDONO",12.27,0.00,55.45,9.06,23.20,0.00,0.00
"NO ABANDONO",12.56,8.85,53.09,0.00,25.47,0.00,0.00
"NO ABANDONO",13.46,1.77,0.00,6.07,35.58,43.09,0.00
"NO ABANDONO",63.42,2.19,0.00,2.66,26.47,0.00,0.00
"NO ABANDONO",21.01,0.00,0.00,2.51,11.59,63.63,0.00
"NO ABANDONO",14.55,6.52,0.00,9.04,25.72,42.97,0.00
"NO ABANDONO",7.24,0.00,0.00,11.72,32.55,46.77,0.00
"NO ABANDONO",6.76,0.00,68.86,2.98,21.38,0.00,0.00
"NO ABANDONO",47.72,0.00,37.52,2.49,6.21,0.00,0.00
"NO ABANDONO",29.23,2.09,14.30,0.00,52.66,0.00,1.69
"NO ABANDONO",92.28,7.71,0.00,0.00,0.00,0.00,0.00
"NO ABANDONO",24.86,9.05,44.12,5.67,16.28,0.00,0.00
"ABANDONO",0.00,17.44,24.07,31.93,22.75,0.00,3.79
"NO ABANDONO",56.78,4.40,19.02,4.33,15.44,0.00,0.00
"ABANDONO",5.20,55.00,0.00,18.58,21.20,0.00,0.00
