ABANDONADO;CULT;MALEZA;DESCAMPADO;VEGETACION;CIELO;SUELO_DESNUDO;PAISAJE
NO ABANDONO;57,81333333;0;5,952;0;31,79733333;0;0
NO ABANDONO;71,90515295;0;0;0;28,09484705;0;0
NO ABANDONO;60,25759918;0;18,9696033;0;20,77279753;0;0
NO ABANDONO;40,00369208;0;0;0;49,2523537;0;0
NO ABANDONO;7,236700409;0;48,99849235;0;43,76480724;0;0
NO ABANDONO;60,60698645;0;0;0;39,39301355;0;0
NO ABANDONO;63,22436093;0;0;0;36,77563907;0;0
NO ABANDONO;64,64134148;0;0;0;35,35865852;0;0
NO ABANDONO;11,75325465;2,044044288;22,77649349;4,002920063;59,4232875;0;0
NO ABANDONO;16,17975022;0;32,39295272;8,285013381;26,51650312;16,62578055;0
NO ABANDONO;81,63977322;0;0;6,192760576;12,1674662;0;0
NO ABANDONO;52,98426056;0;25,35452704;0;21,6612124;0;0
NO ABANDONO;21,74405436;2,131164419;48,38875734;0;25,07978997;0;2,656233913
NO ABANDONO;24,8092412;0;0;0;36,10640102;39,08435778;0
NO ABANDONO;24,8092412;0;0;0;36,10640102;39,08435778;0
NO ABANDONO;32,10951432;0;0;0;31,82628763;36,06419805;0
NO ABANDONO;43,35671769;0;25,15943878;1,264880952;30,21896259;0;0
NO ABANDONO;63,18870883;0;19,66544694;0;15,67171981;0;1,474124412
NO ABANDONO;51,52445263;0;0;0;39,40045017;9,075097197;0
NO ABANDONO;47,69182125;0;0;0;11,74114671;40,56703204;0
NO ABANDONO;41,80685358;0;6,863966771;0;40,57113188;0;0
NO ABANDONO;47,23487987;0;0;0;46,13711682;6,628003314;0
NO ABANDONO;52,78061746;0;3,046411777;0;42,40441627;0;0
NO ABANDONO;56,43627818;2,627924367;0;0;39,79275718;0;0
NO ABANDONO;50,40940584;0;10,03569179;0;37,94877178;0;0
NO ABANDONO;33,08099139;0;32,14767189;1,285906875;33,48542985;0;0
NO ABANDONO;20,71468453;0;51,07761027;0;25,06979341;0;0
ABANDONO;0;54,71556081;0;9,99032154;33,73481019;0;0
NO ABANDONO;29,27881885;0;0;0;43,39579784;27,3253833;0
NO ABANDONO;15,77304048;16,05297158;34,72222222;10,28208441;23,16968131;0;0
NO ABANDONO;55,76373452;0;1,958293638;6,234783529;6,933418016;29,1097703;0
NO ABANDONO;25,1005291;4,666666667;27,86243386;0;22,87830688;0;3,037037037
NO ABANDONO;46,62683324;8,093427485;20,91254753;24,36719174;0;0;0
NO ABANDONO;36,19311876;2,519422863;32,03107658;0;20,54384018;0;0
ABANDONO;0;16,60747859;6,068518905;8,324629204;45,43555463;0;0
NO ABANDONO;21,03027663;6,512742322;50,88216075;0;21,5748203;0;0
NO ABANDONO;17,97300497;6,997395217;4,392611887;0;25,27823822;43,40516221;1,953587497
ABANDONO;20,62506577;22,44554351;9,470693465;47,45869725;0;0;0
NO ABANDONO;53,15752949;0;32,15822346;0;14,68424705;0;0
ABANDONO;0;2,822462708;13,86370284;53,3635566;29,95027786;0;0
NO ABANDONO;17,97908664;0;56,50874947;0;23,35680751;0;0
NO ABANDONO;46,64668802;3,193138369;20,45055286;1,260721298;20,32654748;0;0
NO ABANDONO;52,40784147;0;0;1,757937354;11,22949073;31,1953974;0
NO ABANDONO;36,78404279;0;36,75061288;11,36616893;15,0991754;0;0
NO ABANDONO;29,04485606;9,428698951;39,71211783;0;21,81432716;0;0
NO ABANDONO;44,76695797;0;26,65418227;0;28,57885976;0;0
NO ABANDONO;13,69636964;9,372937294;42,35423542;0;32,97029703;0;1,606160616
NO ABANDONO;52,87758674;0;2,810666118;0;44,31174714;0;0
NO ABANDONO;67,30334771;8,040665434;0;0;18,04271924;6,613267611;0
NO ABANDONO;47,05761317;0;0;0;49,84567901;3,096707819;0
NO ABANDONO;48,30089427;0;0;0;21,88321936;29,81588638;0
NO ABANDONO;34,0629275;0;0;0;61,59370725;0;0
NO ABANDONO;41,11445783;0;0;0;44,10333642;14,78220575;0
NO ABANDONO;79,3875638;0;17,73773565;0;2,874700552;0;0
NO ABANDONO;57,70138187;4,718570947;0;0;16,64981463;12,91989664;0
NO ABANDONO;78,18538803;0;0;0;7,088973856;0;0
NO ABANDONO;61,37787056;0;0;0;31,84330099;0;0
NO ABANDONO;36,79575597;0;16,16976127;0;44,08488064;0;0
NO ABANDONO;32,9452126;0;2,307932217;0;52,18837717;0;1,45545275
NO ABANDONO;83,34027489;0;0;0;16,65972511;0;0
NO ABANDONO;74,97411472;0;0;1,915510458;23,11037482;0;0
NO ABANDONO;65,42239686;0;12,19108675;0;15,93423638;0;1,344225003
NO ABANDONO;54,56442358;4,809598331;6,249347939;10,5894627;12,59259259;0;1,919666145
NO ABANDONO;65,42239686;0;12,19108675;0;15,93423638;0;1,344225003
NO ABANDONO;48,80471903;0;0;0;43,6613888;3,591017282;0
NO ABANDONO;84,51106353;0;0;0;15,48893647;0;0
NO ABANDONO;12,27357558;0;55,4506532;9,06795477;23,20781645;0;0
NO ABANDONO;12,56818911;8,856562199;53,09658787;0;25,47866082;0;0
NO ABANDONO;13,46966754;1,770821433;0;6,077916143;35,58779847;43,09379641;0
NO ABANDONO;63,42819758;2,191691201;0;2,660560462;26,47475739;0;0
NO ABANDONO;21,01163163;0;0;2,518407854;11,59961584;63,63248319;0
NO ABANDONO;14,55561766;6,528787032;0;9,044158748;25,72386808;42,97372834;0
NO ABANDONO;7,249070632;0;0;11,72165428;32,55111524;46,7704461;0
NO ABANDONO;6,764642317;0;68,86751675;2,982494057;21,38534688;0;0
NO ABANDONO;47,72849897;0;37,52023309;2,492716089;6,215603755;0;0
NO ABANDONO;29,23037056;2,098989375;14,30422389;0;52,66908526;0;1,697330915
NO ABANDONO;92,28269699;7,717303006;0;0;0;0;0
NO ABANDONO;24,86211286;9,058124735;44,1238863;5,674586339;16,28128978;0;0
ABANDONO;0;17,44780571;24,07328504;31,93438432;22,75244994;0;3,792074989
NO ABANDONO;56,78180286;4,401853412;19,02906487;4,338668913;15,44860994;0;0
ABANDONO;5,206023112;55,0017509;0;18,58293452;21,20929147;0;0
ABANDONO;0;55,02939604;0;14,38802779;30,58257616;0;0
NO ABANDONO;19,41262237;1,395542595;28,41074776;50,78108727;0;0;0
NO ABANDONO;53,6497847;0;25,28193562;21,06827968;0;0;0
NO ABANDONO;50,39890825;4,146546294;33,98068444;6,728952341;4,744908671;0;0
