"fot_codigo","POR_CULT","POR_CIELO","POR_PAISAJE","PAN_DET","HERBÁCEO O LEÑOSO","AB_REV"
"1908731",31.31,6.84,0.00,"Panorámica","L",0
"1908810",27.38,23.43,0.00,"Panorámica","L",0
"1908827",16.92,35.39,2.01,"Panorámica","L",0
"1908828",19.55,29.16,5.72,"Panorámica","L",0
"1908830",24.18,20.61,3.17,"Panorámica","L",0
"1908832",9.99,32.24,0.00,"Panorámica","L",0
"1908837",43.65,11.35,0.00,"Panorámica","L",0
"1908838",41.61,17.74,0.00,"Panorámica","L",0
"1908839",37.40,21.24,0.00,"Panorámica","L",0
"1908852",19.13,23.97,0.00,"Panorámica","L",0
"1908985",9.74,12.61,4.73,"Panorámica","L",0
"1909127",0.00,15.49,0.00,"Panorámica","L",0
"1909338",37.43,26.03,2.78,"Panorámica","L",0
"1909383",22.31,35.62,0.00,"Panorámica","L",0
"1909384",0.00,26.94,10.53,"Panorámica","L",0
"1909385",23.04,7.04,0.00,"Panorámica","L",0
"1909425",55.39,20.81,2.10,"Panorámica","L",0
"1909432",39.71,2.02,0.00,"Panorámica","L",0
"1909494",45.37,4.67,0.00,"Panorámica","L",0
"1909795",29.50,16.40,0.00,"Panorámica","L",0
"1909901",9.30,4.11,1.11,"Panorámica","L",0
"1910353",18.15,41.21,0.00,"Panorámica","L",0
"1910368",18.82,54.31,0.00,"Panorámica","L",0
"1910371",25.95,33.31,0.00,"Panorámica","L",0
"1910372",6.67,23.97,2.36,"Panorámica","L",0
"1910375",22.72,46.28,0.00,"Panorámica","L",0
"1910377",6.15,54.75,1.24,"Panorámica","L",0
"1910381",11.64,43.94,1.91,"Panorámica","L",0
"1910383",21.14,35.48,0.00,"Panorámica","L",0
"1910384",28.27,49.31,0.00,"Panorámica","L",0
"1910406",13.80,21.48,19.35,"Panorámica","L",0
"1910413",14.02,26.28,11.39,"Panorámica","L",0
"1910414",9.75,28.25,14.71,"Panorámica","L",0
"1910415",7.21,22.97,2.29,"Panorámica","L",0
"1910416",4.64,22.26,4.09,"Panorámica","L",0
"1910417",13.66,19.56,1.89,"Panorámica","L",0
"1910418",0.00,26.12,4.83,"Panorámica","L",0
"1910425",0.00,28.81,12.86,"Panorámica","L",0
"1910426",7.06,30.55,4.33,"Panorámica","L",0
"1910428",8.87,25.48,6.21,"Panorámica","L",0
"1910429",71.92,14.68,10.27,"Panorámica","L",0
"1910430",11.48,19.96,8.52,"Panorámica","L",0
"1910431",12.35,19.43,4.97,"Panorámica","L",0
"1910432",11.22,21.82,5.11,"Panorámica","L",0
"1910433",10.26,21.51,3.72,"Panorámica","L",0
"1910434",6.19,33.55,3.01,"Panorámica","L",0
"1910435",4.77,20.14,0.00,"Panorámica","L",0
"1910436",10.74,26.91,0.00,"Panorámica","L",0
"1910437",7.16,14.92,0.00,"Panorámica","L",0
"1910439",0.00,34.43,3.26,"Panorámica","L",0
"1910440",0.00,24.51,4.88,"Panorámica","L",0
"1910441",15.26,30.76,1.70,"Panorámica","L",0
"1910442",4.27,22.71,6.84,"Panorámica","L",0
"1910443",0.00,24.16,15.17,"Panorámica","L",0
"1910444",0.00,28.97,1.14,"Panorámica","L",0
"1910445",0.00,19.13,8.32,"Panorámica","L",0
"1910446",0.00,22.72,6.83,"Panorámica","L",0
"1910447",0.00,19.70,0.00,"Panorámica","L",0
"1910448",0.00,33.66,0.00,"Panorámica","L",0
"1910449",3.65,31.53,0.00,"Panorámica","L",0
"1910450",17.87,31.09,1.99,"Panorámica","L",0
"1910465",31.87,7.05,0.00,"Panorámica","L",0
"1910500",43.23,36.30,0.00,"Panorámica","L",0
"1910926",62.80,25.33,3.30,"Panorámica","L",0
"1911205",4.96,43.19,2.28,"Panorámica","L",0
"1911206",6.42,5.81,8.77,"Panorámica","L",1
"1911208",1.46,15.49,4.41,"Panorámica","L",0
"1911210",11.03,9.31,5.23,"Panorámica","L",0
"1911298",0.00,44.33,6.17,"Panorámica","L",0
"2023644",6.39,20.65,0.00,"Panorámica","L",0
"2023667",70.05,0.00,0.00,"Panorámica","L",1
"2023718",44.69,7.37,0.00,"Panorámica","L",0
"2023876",49.17,0.00,0.00,"Panorámica","L",0
"2023878",39.40,2.19,1.96,"Panorámica","L",0
"2024049",21.23,24.22,6.99,"Panorámica","L",0
"2024088",0.00,18.68,0.00,"Panorámica","L",1
"2024089",25.85,16.81,9.72,"Panorámica","L",0
"2024106",35.33,1.04,1.91,"Panorámica","L",0
"2024108",35.23,4.99,0.00,"Panorámica","L",0
"2024109",15.40,11.91,0.00,"Panorámica","L",0
"2024110",6.99,9.12,6.89,"Panorámica","L",0
"2024111",9.97,5.13,9.03,"Panorámica","L",0
"2024112",4.18,11.80,3.95,"Panorámica","L",0
"2024113",8.23,11.52,1.07,"Panorámica","L",0
"2024124",31.37,1.53,11.48,"Panorámica","L",0
"2024128",21.31,7.67,0.00,"Panorámica","L",0
"2024129",24.71,10.79,0.00,"Panorámica","L",0
"2024130",7.72,16.74,0.00,"Panorámica","L",0
"2024132",33.32,10.39,0.00,"Panorámica","L",0
"2024134",37.71,2.55,0.00,"Panorámica","L",0
"2024168",4.11,23.39,8.87,"Panorámica","L",1
"2024195",33.28,9.73,11.99,"Panorámica","L",0
"2024470",2.42,18.95,3.07,"Panorámica","L",0
"2024584",33.80,11.46,0.00,"Detalle","L",0
"2035305",90.60,0.00,0.00,"Panorámica","L",1
"2035308",28.82,5.65,0.00,"Panorámica","L",0
"2046001",5.25,23.76,0.00,"Panorámica","L",0
"2046025",30.13,0.00,0.00,"Panorámica","L",0
"2046059",4.62,1.23,0.00,"Panorámica","L",0
"2046109",30.36,18.68,0.00,"Panorámica","L",0
"2046161",53.91,13.37,3.46,"Panorámica","L",0
"2055103",14.65,12.14,20.98,"Panorámica","L",0
"2055106",9.36,22.56,0.00,"Panorámica","L",1
"2055108",29.83,7.76,6.70,"Panorámica","L",0
"2055118",21.08,27.54,2.57,"Panorámica","L",0
"2055131",16.11,24.67,18.04,"Panorámica","L",0
"2055137",46.99,11.45,2.22,"Panorámica","L",0
"2055140",44.66,8.36,2.48,"Panorámica","L",0
"2055141",17.85,18.45,11.04,"Panorámica","L",0
"2055142",1.55,25.37,12.17,"Panorámica","L",0
"2055144",31.98,24.22,0.00,"Panorámica","L",0
"2055153",8.11,10.81,6.65,"Panorámica","L",0
"2055155",18.57,12.37,7.25,"Panorámica","L",1
"2055156",13.84,23.15,9.30,"Panorámica","L",1
"2055165",1.36,0.00,35.22,"Panorámica","L",0
"2055166",0.00,9.94,7.89,"Panorámica","L",0
"2055171",9.72,17.68,18.08,"Panorámica","L",0
"2055172",23.08,8.86,10.76,"Panorámica","L",0
"2055175",0.00,32.30,7.42,"Panorámica","L",0
"2055176",10.96,14.43,11.38,"Panorámica","L",0
"2055178",0.00,23.66,4.09,"Panorámica","L",0
"2055179",9.88,14.56,4.68,"Panorámica","L",0
"2055180",1.25,4.46,15.12,"Panorámica","L",0
"2055181",1.12,9.55,14.22,"Panorámica","L",0
"2055183",25.91,15.91,0.00,"Panorámica","L",0
"2055185",14.32,36.88,3.35,"Panorámica","L",0
"2055186",21.34,27.18,1.11,"Panorámica","L",0
"2055201",32.48,22.50,5.81,"Panorámica","L",0
"2055203",11.53,27.69,12.84,"Panorámica","L",0
"2055208",24.46,35.98,4.64,"Panorámica","L",0
"2055209",17.58,21.55,13.72,"Panorámica","L",0
"2055210",22.43,2.89,13.42,"Panorámica","L",0
"2055211",11.33,29.30,8.60,"Panorámica","L",0
"2055212",30.76,21.07,1.25,"Panorámica","L",0
