"fot_codigo","POR_CULT","POR_CIELO","POR_PAISAJE","PAN_DET","HERBACEO O LENOSO","AB_REV"
"1907329",37.81,42.22,3.49,"Panorámica","H",0
"1907331",53.13,27.76,3.48,"Panorámica","H",0
"1907334",65.95,29.72,1.63,"Panorámica","H",0
"1907335",62.22,33.66,0.00,"Panorámica","H",0
"1907337",31.56,30.90,0.00,"Panorámica","H",0
"1907338",28.84,40.57,0.00,"Panorámica","H",0
"1907676",59.64,19.48,0.00,"Detalle","H",0
"1907694",30.45,43.25,0.00,"Panorámica","H",0
"1907695",25.33,50.00,2.42,"Panorámica","H",0
"1907700",33.80,38.91,2.03,"Panorámica","H",0
"1907701",43.37,49.13,3.31,"Panorámica","H",0
"1907702",64.90,29.45,1.06,"Panorámica","H",0
"1907703",43.47,47.45,3.89,"Panorámica","H",0
"1907704",69.52,21.15,5.14,"Panorámica","H",0
"1907705",71.13,20.73,5.74,"Panorámica","H",0
"1907711",12.97,43.25,0.00,"Panorámica","H",0
"1907718",20.09,39.65,4.10,"Panorámica","H",0
"1907737",62.31,5.65,0.00,"Detalle","H",0
"1907740",30.09,43.67,1.02,"Panorámica","H",0
"1907741",53.15,13.99,3.90,"Panorámica","H",0
"1907742",73.33,21.15,2.17,"Panorámica","H",0
"1907752",69.56,28.30,0.00,"Detalle","H",0
"1907789",63.08,31.98,1.79,"Panorámica","H",0
"1907790",36.84,37.53,0.00,"Panorámica","H",0
"1907794",61.88,34.69,0.00,"Panorámica","H",0
"1907795",26.91,50.59,0.00,"Panorámica","H",0
"1907806",38.62,22.49,0.00,"Panorámica","H",0
"1907810",69.73,22.71,0.00,"Panorámica","H",0
"1907811",43.52,44.57,0.00,"Panorámica","H",0
"1907812",60.30,30.95,0.00,"Panorámica","H",0
"1907813",39.32,39.01,0.00,"Panorámica","H",0
"1907814",51.28,37.71,1.35,"Panorámica","H",0
"1907823",36.49,25.09,0.00,"Panorámica","H",0
"1907825",25.49,39.31,0.00,"Panorámica","H",0
"1907833",52.90,31.14,0.00,"Panorámica","H",0
"1907835",44.72,30.08,0.00,"Panorámica","H",0
"1907870",14.90,22.22,0.00,"Panorámica","H",0
"1907933",36.81,24.27,0.00,"Panorámica","H",0
"1907971",55.75,36.79,5.01,"Panorámica","H",0
"1907973",36.89,38.62,3.45,"Panorámica","H",0
"1907976",38.31,21.23,0.00,"Panorámica","H",0
"1907977",52.94,41.75,1.08,"Panorámica","H",0
"1907979",17.02,26.96,0.00,"Panorámica","H",0
"1907989",14.56,46.77,0.00,"Panorámica","H",0
"1907990",44.56,43.93,3.00,"Panorámica","H",0
"1908041",5.02,52.35,4.34,"Panorámica","H",0
"1908086",35.70,49.60,0.00,"Panorámica","H",0
"1908120",34.09,52.83,0.00,"Panorámica","H",0
"1908205",66.67,26.91,4.28,"Panorámica","H",0
"1908667",31.59,45.40,0.00,"Panorámica","H",0
"1908669",47.62,33.39,1.70,"Panorámica","H",0
"1908671",21.17,47.30,0.00,"Panorámica","H",0
"1908673",18.19,46.59,0.00,"Panorámica","H",0
"1908679",23.48,41.48,0.00,"Panorámica","H",0
"1908796",12.10,41.18,0.00,"Panorámica","H",0
"1908798",15.71,31.82,0.00,"Panorámica","H",0
"1908814",21.23,33.66,0.00,"Panorámica","H",0
"1908816",29.02,24.41,10.34,"Panorámica","H",0
"1908817",14.02,29.08,0.00,"Panorámica","H",0
"1908957",27.71,7.62,6.22,"Panorámica","H",0
"1908962",18.38,44.17,4.14,"Panorámica","H",0
"1908977",74.15,20.12,3.68,"Panorámica","H",0
"1909012",37.22,44.77,0.00,"Panorámica","H",0
"1909013",70.78,12.09,5.78,"Panorámica","H",0
"1909014",51.97,20.60,0.00,"Panorámica","H",0
"1909015",71.37,25.84,0.00,"Panorámica","H",0
"1909016",36.82,29.34,1.41,"Panorámica","H",0
"1909019",33.02,23.25,0.00,"Panorámica","H",0
"1909029",55.25,23.29,1.63,"Panorámica","H",0
"1909046",15.00,21.46,10.81,"Panorámica","H",0
"1909056",29.09,20.92,0.00,"Panorámica","H",0
"1909057",34.25,20.02,4.50,"Panorámica","H",0
"1909160",17.42,46.79,0.00,"Panorámica","H",0
"1909293",46.35,45.95,2.51,"Panorámica","H",0
"1909318",16.42,43.88,5.03,"Panorámica","H",0
"1909330",47.16,47.18,1.52,"Panorámica","H",0
"1909362",20.01,0.00,0.00,"Panorámica","H",0
"1909387",19.96,5.49,0.00,"Panorámica","H",0
"1909397",42.53,46.44,2.05,"Panorámica","H",0
"1909401",43.13,4.73,0.00,"Panorámica","H",0
